"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIMP2",19896.0064836293,30,2.95661287473466,10.1467460472627,3.42596287185764e-24,5.99422959013005e-23
"IPO9",19629.7767205248,30,2.95661288558952,10.1467460100101,3.42596417919106e-24,5.99422959013005e-23
"MIA3",19453.5064349725,30,2.95661289294329,10.1467459847729,3.42596506486203e-24,5.99422959013005e-23
"RABEP2",19118.9663844152,30,2.95661290727343,10.1467459355935,3.42596679075077e-24,5.99422959013005e-23
"PACS1",18736.6314329951,30,2.95661292428819,10.1467458772009,3.4259688399716e-24,5.99422959013005e-23
"GSTM1",18427.633727787,30,2.95661293853555,10.1467458283056,3.42597055589232e-24,5.99422959013005e-23
"EPB41",17799.0026454262,30,2.95661296907495,10.146745723498,3.42597423399569e-24,5.99422959013005e-23
"BPHL",17715.6807235467,30,2.95661297326426,10.1467457091208,3.42597473854819e-24,5.99422959013005e-23
"SERPINA7",16005.0803529469,30,2.95661306936059,10.1467453793296,3.42598631221855e-24,5.99422959013005e-23
"CIAPIN1",15342.4825542943,30,2.95661311235507,10.1467452317776,3.42599149041022e-24,5.99422959013005e-23
"CSTF3",14737.8418568203,30,2.95661315498784,10.146745085467,3.4259966250454e-24,5.99422959013005e-23
"VAT1L",14707.592068642,30,2.95661315721586,10.1467450778207,3.42599689338484e-24,5.99422959013005e-23
"MYO1B",14338.9360529671,30,2.95661318503847,10.1467449823368,3.42600024430792e-24,5.99422959013005e-23
"SCLY",13199.2069334339,30,2.95661328100175,10.1467446530023,3.42601180203828e-24,5.99422959013005e-23
"C14orf105",1531773.46487958,-30,2.956613316618,-10.1467445307715,3.42601609163773e-24,5.99422959013005e-23
"VILL",956359.631060017,-30,2.95661332375221,-10.1467445062878,3.42601695087742e-24,5.99422959013005e-23
"MPZ",941917.775397779,-30,2.95661332404304,-10.1467445052897,3.42601698590509e-24,5.99422959013005e-23
"MGARP",636372.728600596,-30,2.95661333328187,-10.1467444735831,3.42601809862491e-24,5.99422959013005e-23
"CKMT1A",439141.461897119,-30,2.95661334606244,-10.1467444297217,3.426019637911e-24,5.99422959013005e-23
"LMAN2L",343580.361772138,-30,2.95661335752741,-10.1467443903753,3.42602101874675e-24,5.99422959013005e-23
"CPE",12395.4828668497,30,2.9566133592656,10.1467443844101,3.42602122809366e-24,5.99422959013005e-23
"PDLIM2",269742.397869252,-30,2.95661337194696,-10.1467443408892,3.42602275543192e-24,5.99422959013005e-23
"TSPAN9",237577.660473015,-30,2.95661338103007,-10.146744309717,3.42602384939988e-24,5.99422959013005e-23
"C9orf89",190525.035614878,-30,2.95661339984097,-10.1467442451602,3.42602611497896e-24,5.99422959013005e-23
"SRRM2",12004.9607259745,30,2.95661340103142,10.1467442410748,3.42602625835656e-24,5.99422959013005e-23
"RABL3",11979.6391634987,30,2.95661340387541,10.1467442313145,3.42602660088666e-24,5.99422959013005e-23
"FAM175B",174019.908329148,-30,2.95661340884915,-10.1467442142452,3.42602719992317e-24,5.99422959013005e-23
"RETSAT",157196.327286816,-30,2.95661341997779,-10.1467441760531,3.42602854025395e-24,5.99422959013005e-23
"LIPE",148543.953192013,-30,2.95661342668267,-10.1467441530427,3.42602934778938e-24,5.99422959013005e-23
"TP53I11",139795.325479047,-30,2.95661343430579,-10.1467441268811,3.42603026591747e-24,5.99422959013005e-23
"SYNC",139332.844717253,-30,2.95661343473545,-10.1467441254065,3.42603031766567e-24,5.99422959013005e-23
"DKFZp686M1669",11596.5622905502,30,2.95661344781219,10.1467440805287,3.42603189262775e-24,5.99422959013005e-23
"ADCY5",106666.890713529,-30,2.95661347450517,-10.1467439889216,3.42603510753108e-24,5.99422959013005e-23
"MEMO1",103717.450678663,-30,2.95661347932933,-10.1467439723657,3.42603568855246e-24,5.99422959013005e-23
"STXBP1",101153.844655245,-30,2.95661348375039,-10.1467439571931,3.42603622102545e-24,5.99422959013005e-23
"FARS2",100655.47884594,-30,2.95661348463601,-10.1467439541538,3.42603632769017e-24,5.99422959013005e-23
"PRKAB2",99609.0553839142,-30,2.95661348651418,-10.1467439477081,3.42603655389765e-24,5.99422959013005e-23
"LRRC14B",99433.5364545971,-30,2.95661348685132,-10.1467439465511,3.42603659450273e-24,5.99422959013005e-23
"TAPBPL",11189.8299125196,30,2.95661349774893,10.1467439091518,3.42603790701183e-24,5.99422959013005e-23
"CDK18",86221.2924699895,-30,2.9566135147294,-10.1467438508769,3.4260399521435e-24,5.99422959013005e-23
"FREP1",10617.7799701013,30,2.95661357445675,10.1467436458997,3.42604714572881e-24,5.99422959013005e-23
"NXN",66358.0870878853,-30,2.95661357754502,-10.1467436353012,3.42604751768099e-24,5.99422959013005e-23
"ITGA5",10322.5574447401,30,2.95661361736981,10.1467434986273,3.42605231420245e-24,5.99422959013005e-23
"BST1",10260.3035300091,30,2.95661362673192,10.1467434664976,3.42605344178144e-24,5.99422959013005e-23
"PEX11B",10139.2843475379,30,2.95661364526744,10.1467434028859,3.42605567421402e-24,5.99422959013005e-23
"TRAPPC12",42744.7472465931,-30,2.95661372817191,-10.1467431183678,3.4260656593075e-24,5.99422959013005e-23
"CETN2",40838.6150224847,-30,2.95661374792887,-10.1467430505643,3.42606803885865e-24,5.99422959013005e-23
"VPS53",9491.70547770952,30,2.95661375247001,10.1467430349796,3.42606858579985e-24,5.99422959013005e-23
"GALM",39415.1066376394,-30,2.95661376392709,-10.1467429956603,3.42606996570431e-24,5.99422959013005e-23
"CCDC51",36981.2728628206,-30,2.95661379414101,-10.1467428919698,3.42607360470931e-24,5.99422959013005e-23
"MYO5C",32697.42307418,-30,2.95661385824071,-10.1467426719873,3.42608132497632e-24,5.99422959013005e-23
"ACHE",8730.16557572209,30,2.95661389888309,10.1467425325076,3.42608622001467e-24,5.99422959013005e-23
"API5",24068.1672580338,-30,2.95661405663764,-10.146741991113,3.42610522031325e-24,5.99422959013005e-23
"AGPAT3",19360.6332999721,-30,2.95661423942469,-10.1467413638099,3.42612723570874e-24,5.99422959013005e-23
"TANC1",6936.59981169448,30,2.95661437074345,10.1467409131399,3.42614305220066e-24,5.99422959013005e-23
"HGS",16777.1184545187,-30,2.95661438333504,-10.1467408699271,3.42614456877969e-24,5.99422959013005e-23
"UBE3A",6295.63303700479,30,2.9566146045785,10.1467401106465,3.42617121628873e-24,5.99422959013005e-23
"PCK2",12008.7581376976,-30,2.95661481155685,-10.1467394003222,3.42619614582952e-24,5.99422959013005e-23
"STAT4",10810.9827348716,-30,2.95661497848386,-10.1467388274492,3.42621625150851e-24,5.99422959013005e-23
"GUF1",10388.2866557037,-30,2.95661504658208,-10.1467385937445,3.42622445369441e-24,5.99422959013005e-23
